name,identifier,total,total_esta,total_otra,total_fuera,mujer,mujer_esta,mujer_otra,mujer_fuera,hombre,hombre_esta,hombre_otra,hombre_fuera,total_esta_p,total_otra_p,total_fuera_p,mujer_esta_p,mujer_otra_p,mujer_fuera_p,hombre_esta_p,hombre_otra_p,hombre_fuera_p
Buenos Aires,partido General Juan Madariaga,22566,20692,1354,520,11750,10767,711,272,10816,9925,643,248,0.9169547106266064,0.06000177257821501,0.023043516795178586,0.9163404255319149,0.06051063829787234,0.023148936170212766,0.9176220414201184,0.05944896449704142,0.022928994082840236
Buenos Aires,partido General La Madrid,11535,10846,576,113,5902,5515,314,73,5633,5331,262,40,0.940268747290854,0.04993498049414825,0.009796272214997832,0.9344290071162318,0.05320230430362589,0.012368688580142324,0.9463873601988283,0.046511627906976744,0.007101011894194923
Buenos Aires,partido General Las Heras,17980,15345,2298,337,9258,7871,1202,185,8722,7474,1096,152,0.853448275862069,0.1278086763070078,0.01874304783092325,0.8501836249729964,0.12983365737740332,0.019982717649600346,0.856913551937629,0.12565925246503096,0.01742719559734006
Buenos Aires,partido General Lavalle,4846,4250,469,127,2451,2163,219,69,2395,2087,250,58,0.8770119686339248,0.09678085018572018,0.026207181180354932,0.8824969400244798,0.08935128518971848,0.028151774785801713,0.8713987473903967,0.10438413361169102,0.024217118997912318
Buenos Aires,partido General Paz,14141,12526,1361,254,7203,6368,694,141,6938,6158,667,113,0.8857930839403154,0.0962449614595856,0.017961954600099004,0.8840760794113564,0.09634874357906428,0.019575177009579343,0.887575670221966,0.09613721533583165,0.016287114442202363
Buenos Aires,partido General Pinto,12842,11417,1267,158,6521,5788,663,70,6321,5629,604,88,0.8890359757047189,0.09866064475938327,0.012303379535897834,0.887593927311762,0.10167152277258089,0.010734549915657109,0.8905236513209935,0.0955545008701155,0.013921847808890999
Buenos Aires,partido General Pueyrredón,660569,550631,89994,19944,347783,287504,49057,11222,312786,263127,40937,8722,0.8335707549097823,0.13623709256716557,0.030192152523052095,0.8266764045396123,0.1410563483551525,0.03226724710523516,0.8412365003548752,0.13087861988707936,0.027884879758045437
Buenos Aires,partido General Rodríguez,142315,107075,21999,13241,72129,54021,11235,6873,70186,53054,10764,6368,0.7523802831746478,0.15457962969469136,0.09304008713066086,0.748949798278085,0.15576259202262613,0.09528760969928878,0.7559057361867039,0.1533639187302311,0.090730345083065
Buenos Aires,partido General San Martín,444503,324940,82769,36794,232456,167356,44394,20706,212047,157584,38375,16088,0.7310186882878181,0.18620571739673297,0.08277559431544894,0.7199470007227174,0.19097807757166949,0.08907492170561311,0.7431559984343094,0.1809740293425514,0.07586997222313921
Buenos Aires,partido General Viamonte,22530,19356,2589,585,11665,9962,1390,313,10865,9394,1199,272,0.859121171770972,0.11491344873501998,0.02596537949400799,0.8540077153879125,0.1191598799828547,0.026832404629232746,0.8646111366774045,0.11035434882650713,0.02503451449608836
